X,Y,FACILITY_ID,TIME,CAPACITY,OCCUPATION,PERCENTAGE_OF_OCCUPATION
-300.0,-390.0,336_curbside_sensor,31226.0,7,3,0.42857142857142855
-410.0,-700.0,414_curbside_sensor,31280.0,9,1,0.1111111111111111
410.0,-300.0,440_curbside_sensor,31281.0,9,7,0.7777777777777778
-390.0,-100.0,257_curbside_sensor,31286.0,9,2,0.2222222222222222
410.0,-300.0,440_curbside_sensor,31291.0,9,7,0.7777777777777778
-100.0,-790.0,315_curbside_sensor,31322.0,8,8,1.0
410.0,-300.0,440_curbside_sensor,31351.0,9,8,0.8888888888888888
-100.0,-410.0,137_curbside_sensor,31391.0,9,2,0.2222222222222222
810.0,-900.0,410_curbside_sensor,31452.0,7,1,0.14285714285714285
100.0,-810.0,116_curbside_sensor,31502.0,9,2,0.2222222222222222
390.0,-100.0,261_curbside_sensor,31541.0,7,5,0.7142857142857143
-300.0,-590.0,325_curbside_sensor,31571.0,8,1,0.125
210.0,-500.0,428_curbside_sensor,31584.0,7,6,0.8571428571428571
300.0,-410.0,139_curbside_sensor,31607.0,7,7,1.0
-500.0,-610.0,124_curbside_sensor,31633.0,8,2,0.25
210.0,-500.0,428_curbside_sensor,31636.0,7,7,1.0
300.0,-410.0,139_curbside_sensor,31641.0,7,6,0.8571428571428571
210.0,-500.0,428_curbside_sensor,31704.0,7,6,0.8571428571428571
410.0,-300.0,440_curbside_sensor,31761.0,9,7,0.7777777777777778
300.0,-410.0,139_curbside_sensor,31821.0,7,5,0.7142857142857143
-10.0,-900.0,406_curbside_sensor,31828.0,7,5,0.7142857142857143
-410.0,-700.0,414_curbside_sensor,31851.0,9,2,0.2222222222222222
-100.0,-410.0,137_curbside_sensor,31853.0,9,3,0.3333333333333333
300.0,-410.0,139_curbside_sensor,31881.0,7,4,0.5714285714285714
-390.0,-100.0,257_curbside_sensor,31886.0,9,1,0.1111111111111111
-10.0,-900.0,406_curbside_sensor,31891.0,7,6,0.8571428571428571
-190.0,-100.0,258_curbside_sensor,31893.0,8,5,0.625
-300.0,-590.0,325_curbside_sensor,31915.0,8,2,0.25
390.0,-100.0,261_curbside_sensor,31923.0,7,6,0.8571428571428571
790.0,-300.0,242_curbside_sensor,31956.0,7,2,0.2857142857142857
100.0,-210.0,148_curbside_sensor,31980.0,8,7,0.875
-10.0,-900.0,406_curbside_sensor,31985.0,7,7,1.0
300.0,-410.0,139_curbside_sensor,32001.0,7,3,0.42857142857142855
-300.0,-590.0,325_curbside_sensor,32095.0,8,4,0.5
-300.0,-590.0,325_curbside_sensor,32095.0,8,4,0.5
300.0,-410.0,139_curbside_sensor,32121.0,7,2,0.2857142857142857
-300.0,-390.0,336_curbside_sensor,32126.0,7,2,0.2857142857142857
-300.0,-590.0,325_curbside_sensor,32155.0,8,5,0.625
410.0,-300.0,440_curbside_sensor,32165.0,9,8,0.8888888888888888
-190.0,-100.0,258_curbside_sensor,32197.0,8,4,0.5
300.0,-410.0,139_curbside_sensor,32241.0,7,1,0.14285714285714285
-300.0,-590.0,325_curbside_sensor,32275.0,8,6,0.75
410.0,-300.0,440_curbside_sensor,32301.0,9,7,0.7777777777777778
-190.0,-100.0,258_curbside_sensor,32317.0,8,3,0.375
-100.0,-410.0,137_curbside_sensor,32342.0,9,4,0.4444444444444444
300.0,-610.0,128_curbside_sensor,32369.0,7,1,0.14285714285714285
-300.0,-590.0,325_curbside_sensor,32395.0,8,7,0.875
100.0,-210.0,148_curbside_sensor,32460.0,8,6,0.75
-500.0,-610.0,124_curbside_sensor,32482.0,8,3,0.375
-300.0,-590.0,325_curbside_sensor,32515.0,8,8,1.0
100.0,-210.0,148_curbside_sensor,32520.0,8,5,0.625
210.0,-500.0,428_curbside_sensor,32544.0,7,5,0.7142857142857143
900.0,-410.0,142_curbside_sensor,32546.0,9,0,0.0
-410.0,-700.0,414_curbside_sensor,32593.0,9,4,0.4444444444444444
410.0,-300.0,440_curbside_sensor,32601.0,9,6,0.6666666666666666
-410.0,-700.0,414_curbside_sensor,32620.0,9,4,0.4444444444444444
100.0,-210.0,148_curbside_sensor,32640.0,8,4,0.5
210.0,-500.0,428_curbside_sensor,32664.0,7,4,0.5714285714285714
100.0,-210.0,148_curbside_sensor,32700.0,8,3,0.375
-300.0,-390.0,336_curbside_sensor,32708.0,7,4,0.5714285714285714
-300.0,-390.0,336_curbside_sensor,32726.0,7,3,0.42857142857142855
-300.0,-390.0,336_curbside_sensor,32738.0,7,3,0.42857142857142855
100.0,-210.0,148_curbside_sensor,32760.0,8,2,0.25
-190.0,-100.0,258_curbside_sensor,32797.0,8,2,0.25
100.0,-210.0,148_curbside_sensor,32820.0,8,1,0.125
10.0,-500.0,227_curbside_sensor,32841.0,7,0,0.0
210.0,-300.0,439_curbside_sensor,32892.0,7,6,0.8571428571428571
210.0,-500.0,428_curbside_sensor,32904.0,7,3,0.42857142857142855
-410.0,-700.0,414_curbside_sensor,32920.0,9,6,0.6666666666666666
100.0,-210.0,148_curbside_sensor,32940.0,8,0,0.0
-410.0,-700.0,414_curbside_sensor,32960.0,9,6,0.6666666666666666
210.0,-500.0,428_curbside_sensor,32964.0,7,2,0.2857142857142857
